,Entity,Year,Emissions per kilogram,Eutrophication per kilogram,Land use per kilogram,Water scarcity per kilogram,Water withdrawals per kilogram,Label
0,Apples,2010,0.43,1.45,0.63,12948.6,180.1,Commodity
1,Bananas,2010,0.86,3.29,1.93,661.9,114.5,Commodity
2,Barley,2010,1.18,2.33,1.11,696.4,17.1,Commodity
3,Beef (beef herd),2010,99.48,301.41,326.21,34732.5,1451.2,Commodity
4,Beef (dairy herd),2010,33.3,365.29,43.24,119805.2,2714.3,Commodity
5,Beet Sugar,2010,1.81,5.41,1.83,9493.3,217.7,Commodity
6,Berries & Grapes,2010,1.53,6.12,2.41,21162.1,419.6,Commodity
7,Brassicas,2010,0.51,5.01,0.55,8455.1,119.4,Commodity
8,Cane Sugar,2010,3.2,16.92,2.04,16438.6,620.1,Commodity
9,Cassava,2010,1.32,0.69,1.81,0.0,0.0,Commodity
10,Cheese,2010,23.88,98.37,87.79,180850.6,5605.2,Commodity
11,Citrus Fruit,2010,0.39,2.24,0.86,4662.7,82.7,Commodity
12,Coffee,2010,28.53,110.52,21.62,337.0,25.9,Commodity
13,Dark Chocolate,2010,46.65,87.08,68.96,2879.2,540.6,Commodity
14,Eggs,2010,4.67,21.76,6.27,17982.7,577.7,Commodity
15,Fish (farmed),2010,13.63,235.12,8.41,41572.2,3691.3,Commodity
16,Groundnuts,2010,3.23,14.14,9.11,61797.9,1852.3,Commodity
17,Lamb & Mutton,2010,39.72,97.13,369.81,141925.0,1802.8,Commodity
18,Maize,2010,1.7,4.03,2.94,10863.3,215.7,Commodity
19,Milk,2010,3.15,10.65,8.95,19786.3,628.2,Commodity
20,Nuts,2010,0.43,19.15,12.96,229889.8,4133.8,Commodity
21,Oatmeal,2010,2.48,11.23,7.6,18786.2,482.4,Commodity
22,Onions & Leeks,2010,0.5,3.24,0.39,932.0,14.3,Commodity
23,Other Fruit,2010,1.05,2.43,0.89,9533.1,153.5,Commodity
24,Other Pulses,2010,1.79,17.08,15.57,22477.4,435.7,Commodity
25,Other Vegetables,2010,0.53,2.27,0.38,4911.4,102.5,Commodity
26,Peas,2010,0.98,7.52,7.46,27948.2,396.6,Commodity
27,Pig Meat,2010,12.31,76.38,17.36,66867.4,1795.8,Commodity
28,Potatoes,2010,0.46,3.48,0.88,2754.2,59.1,Commodity
29,Poultry Meat,2010,9.87,48.7,12.22,14177.9,660.0,Commodity
30,Prawns (farmed),2010,26.87,227.22,2.97,127259.0,3515.4,Commodity
31,Rice,2010,4.45,35.07,2.8,49576.3,2248.4,Commodity
32,Root Vegetables,2010,0.43,1.61,0.33,929.2,28.4,Commodity
